original_name,new_name
"OKTA, INC.",OKTA
"SOCIAL FINANCE, INC. (SOFI)",SOCIAL FINANCE
JONES HAYDU INC,JONES HAYDU
VIALPANDO LLC,VIALPANDO
"UNIVERSITY OF CALIFORNIA, AT SAN FRANCISCO",UNIVERSITY OF CALIFORNIA SAN FRANCISCO
GRASSROOTS POLICY PROJECT,GRASS ROOTS POLICY PROJECT
US HOUSE OF REPRESENTATIVES,UNITED STATES HOUSE OF REPRESENTATIVES
3S LLC,3S
"DEEP ELM CONSTRUCTION, LLC",DEEP ELM CONSTRUCTION
"COHNREZNICK, LLP",COHNREZNICK
GREENSTEIN & MCDONALD,GREENSTEIN AND MCDONALD
SAN FRANCISCO DEPARTMENT OF PUBLIC HEALTH,SAN FRANCISCO DEPT OF PUBLIC HEALTH
ARNOLD & PORTER KAYE SCHOLER LLP,ARNOLD AND PORTER KAYE SCHOLER
MCKINSEY & CO,MCKINSEY AND CO
MAYER BROWN LLP,MAYER BROWN
SCULYER RUMSEY INC,SCULYER RUMSEY
"TRINITY MANAGEMENT, LLC",TRINITY MANAGEMENT
MORRISON AND FOERSTER LLP,MORRISON AND FOERSTER
"GOLDSTEIN, GELLMAN, MELBOSTAD, HARRIS & MCSPARRAN, LLP",GOLDSTEIN GELLMAN MELBOSTAD HARRIS AND MCSPARRAN
SELF EMPOLYED,SELF-EMPLOYED
BASA INC,BASA
"MORGAN, LEWIS & BOCKIUS LLP",MORGAN LEWIS AND BOCKIUS
"TENDERLOIN HOUSING CLINIC, INC.",TENDERLOIN HOUSING CLINIC
EWALD TAJBAKSH ARCHITECTURE (ETA),EWALD TAJBAKSH ARCHITECTURE
AT&T,ATANDT
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",UNIVERSITY OF CALIFORNIA SAN FRANCISCO
COOLEY LLP,COOLEY
INVISIONAPP INC.,INVISIONAPP
"WILKINSON BARKER KNAUER, LLP",WILKINSON BARKER KNAUER
DUANE MORRIS LLP,DUANE MORRIS
"CENTRON MANAGEMENT GROUP, INC.",CENTRON MANAGEMENT GROUP
"REDAPTIVE, INC.",REDAPTIVE
SEL EMPLOYED,SELF-EMPLOYED
WESTERN CENTER ON LAW & POVERTY,WESTERN CENTER ON LAW AND POVERTY
ACKRELL CAPITAL LLC,ACKRELL CAPITAL
"SELF EMPLOYED, SAME NAME",SELF-EMPLOYED
"MANATT, PHELPS & PHILLIPS, LLP",MANATT PHELPS AND PHILLIPS
"650 INDUSTRIES, INC.",650 INDUSTRIES
UNIVERSITY OF CALIFORNIA AT SAN FRANCISCO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO
SARA C. STEPHENS MEDICAL ADVOCACY & PLANNING,SARA C. STEPHENS MEDICAL ADVOCACY AND PLANNING
GROSS & BELSKY PROFESSIONAL CORPORATION,GROSS AND BELSKY PROFESSIONAL CORPORATION
SELF EMPPLOYED/SAME NAME,SELF-EMPLOYED
HWL ENTERPRISE INC,HWL ENTERPRISE
"UBER, INC.",UBER
SAN FRANCISCO PUBLIC DEFENDER'S OFFICE,OFFICE OF THE SAN FRANCISCO PUBLIC DEFENDER
"SPEEDGAUGE, INC.",SPEEDGAUGE
"PAX LABS, INC.",PAX LABS
FIG & THISTLE MARKET,FIG AND THISTLE MARKET
"BLUE BIRDS CONSTRUCTION, INC.",BLUE BIRDS CONSTRUCTION
"REUBEN, JUNIUS & ROSE, LLP",REUBEN JUNIUS AND ROSE
"GROUPON, INC.",GROUPON
"NEYHART, ANDERSON, FLYNN & GROSBOLL",NEYHART ANDERSON FLYNN AND GROSBOLL
ON LOK INC.,ON LOK
"BLOOMFIELD LAW GROUP, INC.",BLOOMFIELD LAW GROUP
"SINCERE CONSTRUCTION COMPANY, INC.",SERE CONSTRUCTION COMPANY
H & L PARTNERS,H AND L PARTNERS
"SOLYD ARCHITECTURE, MANAGEMENT & DESIGN",SOLYD ARCHITECTURE MANAGEMENT AND DESIGN
"Z&L PROPERTIES, INC.",ZANDL PROPERTIES
MOUNTAIN VIEW WINDOW & DOOR,MOUNTAIN VIEW WINDOW AND DOOR
"PEACOCK PROPERTIES, INC.",PEACOCK PROPERTIES
"DR. TERESA PALMER, MD",DR. TERESA PALMER MD
DENNING & COMPANY,DENNING AND COMPANY
KIMOCHI INC,KIMOCHI
HOYER & HICKS,HOYER AND HICKS
"MUTUAL SEIKO CONSTRUCTION, INC.",MUTUAL SEIKO CONSTRUCTION
"WONG CONSTRUCTION, INC.",WONG CONSTRUCTION
"IMMIXGROUP, INC",IMMIXGROUP
"JACKSON LAW GROUP, P.C.",JACKSON LAW GROUP P.C.
EASTERSEALS BAY AREA (ESBA),EASTERSEALS BAY AREA
GREAT BASIN LAND & WATER,GREAT BASIN LAND AND WATER
NOT EMPLOYED,NONE
KAFOURY & MCDOUGAL,KAFOURY AND MCDOUGAL
"GORDON REES SCULLY MANSUKHANI, LLP",GORDON REES SCULLY MANSUKHANI
FMSF INC,FMSF
CITY AND COUNT OF SAN FRANCISCO,CITY AND COUNTY OF SAN FRANCISCO
WINSTON & STRAWN LLP,WINSTON AND STRAWN
"ADAMAS PHARMACEUTICALS, INC.",ADAMAS PHARMACEUTICALS
E-VINCE,E-VE
BULLITT BAR & GRILL,BULLITT BAR AND GRILL
SQUARE INC.,SQUARE
"COURTSCRIBES, INC.",COURTSCRIBES
"CARBON, INC",CARBON
HELLER MANUS INC.,HELLER MANUS
"EXPANSE, INC.",EXPANSE
650 INDUSTRIES INC,650 INDUSTRIES
JSY PUBLIC RELATIONS & MARKETING,JSY PUBLIC RELATIONS AND MARKETING
"AD ASTRA LAW GROUP, LLP",AD ASTRA LAW GROUP
CRESLEIGH MANAGEMENT INC,CRESLEIGH MANAGEMENT
TRACEABLE INC.,TRACEABLE
"HALLINAN & HALLINAN, PROFESSIONAL CORPORATION",HALLINAN AND HALLINAN PROFESSIONAL CORPORATION
"SQUARE, INC.",SQUARE
"CODERPAD, INC",CODERPAD
"650 INDUSTRIES, INC. (EXPO)",650 INDUSTRIES
HUMPHREYS JOINER LAW GROUP LLP,HUMPHREYS JOINER LAW GROUP
GREEN THREAD HOLDINGS INC,GREEN THREAD HOLDINGS
"VMWARE, INC.",VMWARE
BIRD RIDES INC.,BIRD RIDES
"ROBIN F. LEVITT, ARCHITECT",ROBIN F. LEVITT ARCHITECT
"DROPBOX, INC.",DROPBOX
ATLASSIAN CORPORATION,ATLASSIAN
"UNIVERSAL DEVELOPMENT CONSULTING PRO, INC.",UNIVERSAL DEVELOPMENT CONSULTING PRO
AVANTINE LLC,AVANTINE
"SYNCOPATED ARCHITECTURE, INC.",SYNCOPATED ARCHITECTURE
"SOUNDS BAZAAR, BLACK SCALE, ANKH MARKETING",SOUNDS BAZAAR BLACK SCALE ANKH MARKETING
MIKE MURACH & ASSOCIATES,MIKE MURACH AND ASSOCIATES
"3D INVESTMENTS, LLC",3D INVESTMENTS
FUNDX INVESTMENT GROUP LLC,FUNDX INVESTMENT GROUP
"LOCAL 21, PROFESSIONAL & TECHNICAL ENGINEERS",LOCAL 21 PROFESSIONAL AND TECHNICAL ENGINEERS
"DUECOURSE, INC.",DUECOURSE
"REMIX, INC",REMIX
WESTERN CENTER ON POVERTY,WESTERN CENTER ON LAW AND POVERTY
LUCKY 8 TRADING LLC,LUCKY 8 TRADING
"AST ENTERPRISES, INC",AST ENTERPRISES
SALEM & GREEN,SALEM AND GREEN
INCARDA THERAPEUTICS,ARDA THERAPEUTICS
APPLE INC.,APPLE
"CUROLOGY, INC.",CUROLOGY
"PISCES, INC.",PISCES
"KENNEDY PAYNE, PROFESSIONAL CORPORATION",KENNEDY PAYNE PROFESSIONAL CORPORATION
"DR. RICHARD BALDWIN, MD",DR. RICHARD BALDWIN MD
"GORDON/CLIFFORD REALTY, INC",GORDON/CLIFFORD REALTY
BANCROFT & MCALISTER LLC,BANCROFT AND MCALISTER
AMERICA ASIA INVESTMENTS INC.,AMERICA ASIA INVESTMENTS
CORE GLASS & ALUMINUM INC,CORE GLASS AND ALUMINUM
"TRUST DEED INVESTMENTS, INC.",TRUST DEED INVESTMENTS
"LIFSCHITZ, EZRIN, DARSKY & ALIOTO, ATTORNEYS AT LAW",LIFSCHITZ EZRIN DARSKY AND ALIOTO ATTORNEYS AT LAW
AAUBA INC,AAUBA
GM CRUISE LLC,GM CRUISE
"COTCHETT, PITRE & MCCARTHY, LLP",COTCHETT PITRE AND MCCARTHY
"DAVID PERRY & ASSOCIATES, INC.",DAVID PERRY AND ASSOCIATES
"HOFFMAN INDUSTRIES, LLC",HOFFMAN INDUSTRIES
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",UNIVERSITY OF CALIFORNIA HASTINGS COLLEGE OF THE LAW
Z&L PROPERTIES,ZANDL PROPERTIES
"FACEBOOK, INC.",FACEBOOK
"JJ VIRGIN & ASSOCIATES, INC.",JJ VIRGIN AND ASSOCIATES
"UNIVERSITY OF SAN FRANCISCO, SCHOOL OF LAW",UNIVERSITY OF SAN FRANCISCO SCHOOL OF LAW
"SPERAMUS, INC.",SPERAMUS
T OKAMOTO & CO,T OKAMOTO AND CO
OATH HOLDINGS INC.,OATH HOLDINGS
ARTECH INFORMATION SYSTEMS LLC,ARTECH INFORMATION SYSTEMS
APPLE INC,APPLE
HKH CONSULTING INC,HKH CONSULTING
AIDS LEGAL REFERRAL PANEL (ALRP),AIDS LEGAL REFERRAL PANEL
"KIMOCHI, INC.",KIMOCHI
TRIANNI INC,TRIANNI
LUCIA'S HEALTH & BEAUTY,LUCIA'S HEALTH AND BEAUTY
"SAM WO VENTURES, LLC",SAM WO VENTURES
"EMERALD FUND, INC.",EMERALD FUND
"JAYNE W. WILLIAMS, ESQ.",JAYNE W. WILLIAMS ESQ.
"MHC ENGINEERS, INC",MHC ENGINEERS
GOOGLE INC,GOOGLE
THE EMERALD FUND,EMERALD FUND
"CRICKET HEALTH, INC",CRICKET HEALTH
TXT LLC DBA CAT CLUB,TXT DBA CAT CLUB
DL (DAVID LILIENSTEIN) LAW GROUP,DL LAW GROUP
"ADOBE, INC.",ADOBE
"DECKLER ELECTRIC COMPANY, INC.",DECKLER ELECTRIC COMPANY
"OUTSCHOOL, INC.",OUTSCHOOL
GLUCK DANIEL LLP,GLUCK DANIEL
"TRIANNI, INC.",TRIANNI
