original_name,new_name,info
"SENIOR MANAGER, HEALTHCARE COMPLIANCE",SENIOR MANAGER HEALTHCARE COMPLIANCE,NA
"DIRECTOR, PUBLIC AFFAIRS",DIRECTOR PUBLIC AFFAIRS,NA
"VICE PRESIDENT, OPERATIONS",EXECUTIVE,NA
"ACCOUNT SUPERVISOR, PUBLIC RELATIONS",ACCOUNT SUPERVISOR PUBLIC RELATIONS,NA
CEO/CO-FOUNDER,EXECUTIVE,NA
"DIRECTOR, PRODUCT MANAGEMENT",DIRECTOR PRODUCT MANAGEMENT,NA
TENANT LAWYER,ATTORNEY,Any kind of attorney is an attorney.
ENGINEER/BUSINESS ADMINISTRATOR,ENGINEER,"Any kind of engineer is an engineer, if they're not software engineers."
"LEGISLATIVE AIDE, SUPERVISOR AHSHA SAFAI",LEGISLATIVE AIDE SUPERVISOR AHSHA SAFAI,NA
REAL ESTATE DEVELOPMENT,REAL ESTATE DEVELOPER,NA
FOUNDER/STRATEGIC CONSULTANT,EXECUTIVE,NA
PRESIDENT & CEO,EXECUTIVE,NA
SENIOR DEVOPS ENGINEER,SOFTWARE ENGINEER,Match on SOFTWARE ENG.
TRIAL ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
"MEMBER, BOARD OF SUPERVISORS",MEMBER BOARD OF SUPERVISORS,NA
"VICE PRESIDENT, SOFTWARE DEVELOPMENT",EXECUTIVE,NA
"DIRECTOR, OFFICE OF SMALL BUSINESS",DIRECTOR OFFICE OF SMALL BUSINESS,NA
"ASSISTANT FACULTY DIRECTOR, DATA SCIENCE",ASSISTANT FACULTY DIRECTOR DATA SCIENCE,NA
JOURNALIST-ENGINEER,ENGINEER,"Any kind of engineer is an engineer, if they're not software engineers."
"DIRECTOR, STRATEGY & CORPORATE DEVELOPMENT",DIRECTOR STRATEGY & CORPORATE DEVELOPMENT,NA
"MANAGING PARTNER, CAPITAL MARKETS",MANAGING PARTNER CAPITAL MARKETS,NA
"DIRECTOR, CONSTRUCTION MANAGEMENT",DIRECTOR CONSTRUCTION MANAGEMENT,NA
"SENIOR ADVISOR TO THE DIRECTOR, SAN FRANCISCO AIRPORT",SENIOR ADVISOR TO THE DIRECTOR SAN FRANCISCO AIRPORT,NA
FOUNDER/WRITER,EXECUTIVE,NA
"FOUNDER, GENERAL MANAGING PARTNER",EXECUTIVE,NA
"SENIOR PRINCIPAL, SOLUTIONS+INNOVATION, COMMERCIAL SERVICES",SENIOR PRINCIPAL SOLUTIONS+INNOVATION COMMERCIAL SERVICES,NA
"MECHANIC, SFMTA",MECHANIC SFMTA,NA
ATTORNEY / NONPROFIT DIRECTOR,ATTORNEY,Any kind of attorney is an attorney.
PRESIDENT/OWNER,EXECUTIVE,NA
ACTING EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR,NA
SERVICE RELIABILITY ENGINEER,SOFTWARE ENGINEER,Match on SOFTWARE ENG.
FOUNDER AND PRINCIPAL CONSULTANT,EXECUTIVE,NA
VICE PRESIDENT OF PUBLIC AFFAIRS,EXECUTIVE,NA
SENIOR VICE PRESIDENT,EXECUTIVE,NA
EXECUTIVE VICE PRESIDENT,EXECUTIVE,NA
CEO/POLICY CONSULTANT,EXECUTIVE,NA
"DIRECTOR, PRODUCT MARKETING",DIRECTOR PRODUCT MARKETING,NA
HOUSING ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
PRESIDENT/CEO,EXECUTIVE,NA
"STRATEGIC COMMUNICATIONS MANAGER, SFO",STRATEGIC COMMUNICATIONS MANAGER SFO,NA
TENANT'S ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
PROJECT ENGINEER,ENGINEER,"Any kind of engineer is an engineer, if they're not software engineers."
VICE PRESIDENT AND MANAGER,EXECUTIVE,NA
PACKAGING ENGINEERING PROGRAM MANAGER,ENGINEER,"Any kind of engineer is an engineer, if they're not software engineers."
"CRYPTO, HOUSING, & TRAVEL TECH ENTREPRENEUR",CRYPTO HOUSING & TRAVEL TECH ENTREPRENEUR,NA
"DIRECTOR, OFFICE OF ECONOMIC AND WORKFORCE DEVELOPMENT",DIRECTOR OFFICE OF ECONOMIC AND WORKFORCE DEVELOPMENT,NA
ASSISTANT TO EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR,NA
"DIRECTOR, GRANTS FOR THE ARTS",DIRECTOR GRANTS FOR THE ARTS,NA
CO-EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR,NA
PRINCIPAL/REAL ESTATE DEVELOPER,REAL ESTATE DEVELOPER,NA
"CHIEF OF STAFF, OFFICE OF FIONA MA",CHIEF OF STAFF OFFICE OF FIONA MA,NA
CO- EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR,NA
FOUNDER/REAL ESTATE INVESTOR,REAL ESTATE INVESTOR,NA
"PRESIDENT, BOARD OF DIRECTORS",EXECUTIVE,NA
