employer_name,total_employees,total_amount
"SPERAMUS, INC.",2,250
"UNIVERSAL DEVELOPMENT CONSULTING PRO, INC.",1,250
TRACEABLE INC.,1,250
CHU KAY CHEN,1,250
EWALD TAJBAKSH ARCHITECTURE (ETA),1,250
KIMOCHI INC,1,250
SARA C. STEPHENS MEDICAL ADVOCACY & PLANNING,1,250
"HALLINAN & HALLINAN, PROFESSIONAL CORPORATION",1,250
"HOFFMAN INDUSTRIES, LLC",1,250
"SOLYD ARCHITECTURE, MANAGEMENT & DESIGN",1,250
"SAM WO VENTURES, LLC",1,250
MIKE MURACH & ASSOCIATES,1,250
INVISIONAPP INC.,1,250
"DUECOURSE, INC.",1,200
LINCOLN LIGHTHILL ARCHITECT,3,200
H & L PARTNERS,1,200
"LOCAL 21, PROFESSIONAL & TECHNICAL ENGINEERS",1,200
"BARRACUDA NETWORKS, INC.",2,200
"WILKINSON BARKER KNAUER, LLP",1,199
ON LOK INC.,4,175
KAFOURY & MCDOUGAL,1,150
650 INDUSTRIES INC,1,150
MCKINSEY & CO,2,125
"DR. RICHARD BALDWIN, MD",1,100
WESTERN CENTER ON LAW & POVERTY,1,100
SELF EMPPLOYED/SAME NAME,1,100
"ROBIN F. LEVITT, ARCHITECT",1,100
EASTERSEALS BAY AREA (ESBA),1,100
BANCROFT & MCALISTER LLC,1,100
"CUROLOGY, INC.",1,100
BURTON ZARTEL BINZEL + MILLER,1,100
VIALPANDO LLC,1,100
"SELF EMPLOYED, SAME NAME",1,100
"EXPANSE, INC.",1,100
SALEM & GREEN,1,100
FIVUT VOICE,1,100
"REMIX, INC",1,100
"PAX LABS, INC.",1,100
AVANTINE LLC,1,100
GREEN THREAD HOLDINGS INC,1,100
"KIMOCHI, INC.",1,100
OATH HOLDINGS INC.,1,100
GROSS & BELSKY PROFESSIONAL CORPORATION,1,100
BEATRICE RICHARDSON,1,100
"IMMIXGROUP, INC",1,100
BIRD RIDES INC.,1,100
COOLEY LLP,1,100
GLUCK DANIEL LLP,1,100
CLEARY & ASSOCIATES,1,100
FUNDX INVESTMENT GROUP LLC,1,100
E-VINCE,2,100
ARTECH INFORMATION SYSTEMS LLC,1,100
50+1 STRATEGIES,1,100
"KENNEDY PAYNE, PROFESSIONAL CORPORATION",1,100
HOYER & HICKS,1,100
FRANCHISE OPERATIONS DIRECTOR,1,100
U.S.-JAPAN COUNCIL,2,0
ADR CONTINENTAL GROUP,2,0
KASLOFSKY & ASSOCIATES,2,0
BUILD,2,0
